date,forecast,mae
8/20/2019,-0.0097,0.025545475
8/21/2019,0.0052,0.025566006
8/22/2019,0.0039,0.025547525
8/23/2019,-0.0008,0.025588743
8/24/2019,-0.0061,0.025534998
8/25/2019,0.0070,0.02553041
8/26/2019,0.0020,0.025565826
8/27/2019,-0.0076,0.025594719
8/28/2019,-0.0037,0.025507249
8/29/2019,0.0077,0.025567235
8/30/2019,0.0008,0.025579123
8/31/2019,-0.0040,0.025509943
9/1/2019,-0.0026,0.025491754
9/2/2019,0.0034,0.025551042
9/3/2019,-0.0029,0.025618852
9/4/2019,-0.0052,0.025509404
9/5/2019,0.0016,0.025503244
9/6/2019,0.0012,0.025547786
9/7/2019,0.0005,0.025574359
9/8/2019,0.0018,0.025481111
9/9/2019,-0.0003,0.025562773
9/10/2019,0.0025,0.025468933
9/11/2019,-0.0033,0.025515705
9/12/2019,-0.0016,0.025453097
9/13/2019,0.0017,0.025505339
9/14/2019,0.0004,0.02552782
9/15/2019,-0.0007,0.02547988
9/16/2019,-0.0046,0.025409706
9/17/2019,0.0022,0.025395706
9/18/2019,0.0021,0.025494971
9/19/2019,-0.0008,0.025447496
9/20/2019,-0.0023,0.025366635
9/21/2019,0.0000,0.025423181
9/22/2019,0.0026,0.025423453
9/23/2019,-0.0011,0.025345733
9/24/2019,-0.0026,0.02533998
9/25/2019,0.0010,0.02539557
9/26/2019,0.0003,0.025400356
9/27/2019,-0.0057,0.025451304
9/28/2019,0.0027,0.025493022
9/29/2019,-0.0052,0.025397812
9/30/2019,-0.0061,0.025388981
10/1/2019,0.0005,0.025477683
10/2/2019,-0.0032,0.025379107
10/3/2019,0.0055,0.025370081
10/4/2019,-0.0058,0.025451942
10/5/2019,-0.0005,0.025354309
10/6/2019,-0.0001,0.025341621
10/7/2019,0.0029,0.025420306
10/8/2019,-0.0007,0.025340794
10/9/2019,-0.0040,0.025417233
10/10/2019,0.0024,0.025390641
10/11/2019,-0.0008,0.025321871
10/12/2019,0.0019,0.025415801
10/13/2019,-0.0014,0.02532272
10/14/2019,-0.0019,0.025389829
10/15/2019,0.0054,0.025335899
10/16/2019,-0.0021,0.025377603
10/17/2019,-0.0018,0.025287948
10/18/2019,-0.0018,0.025276776
10/19/2019,0.0034,0.025324387
10/20/2019,0.0012,0.025303837
10/21/2019,-0.0048,0.025268546
10/22/2019,-0.0011,0.025263758
10/23/2019,0.0029,0.025303436
10/24/2019,-0.0012,0.025285193
10/25/2019,0.0004,0.025348694
10/26/2019,-0.0020,0.025419641
10/27/2019,0.0030,0.025370224
10/28/2019,0.0025,0.025434955
10/29/2019,-0.0103,0.025397965
10/30/2019,0.0041,0.025423835
10/31/2019,0.0073,0.025450047
11/1/2019,0.0060,0.025440639
11/2/2019,-0.0072,0.02539739
11/3/2019,-0.0062,0.025354553
11/4/2019,0.0066,0.025345698
11/5/2019,0.0014,0.025325239
11/6/2019,0.0004,0.025391113
11/7/2019,-0.0049,0.025378625
11/8/2019,0.0041,0.025294936
11/9/2019,0.0018,0.025389158
11/10/2019,0.0038,0.025376178
