,vars,model_returns,FP,FN,TP,TN,accuracy,precision,recall,TNR
131,"1, 4, 10",0.0786896066752152,40,0,50,0,0.56,0.56,1.0,0.0
220,"5, 9, 10",0.0786896066752152,40,0,50,0,0.56,0.56,1.0,0.0
124,"1, 3, 9",0.1555597317348021,37,3,47,3,0.56,0.56,0.94,0.075
120,"1, 3, 5",0.18933281870812219,37,3,47,3,0.56,0.56,0.94,0.075
230,"8, 9, 10",0.18567118743141414,37,3,47,3,0.56,0.56,0.94,0.075
108,"0, 8, 9",0.18623547232203586,36,4,46,4,0.56,0.56,0.92,0.1
208,"4, 8, 9",0.0786896066752152,40,0,50,0,0.56,0.56,1.0,0.0
32,"2, 5",0.17540993099742225,38,3,47,2,0.54,0.55,0.94,0.05
228,"7, 8, 10",-0.008012107664982913,39,2,48,1,0.54,0.55,0.96,0.025
34,"2, 7",0.2317581956926556,33,8,42,7,0.54,0.56,0.84,0.175
79,"0, 2, 7",0.28805424394340245,33,8,42,7,0.54,0.56,0.84,0.175
106,"0, 7, 9",0.2785763186732205,33,8,42,7,0.54,0.56,0.84,0.175
35,"2, 8",0.1834551629667225,36,5,45,4,0.54,0.56,0.9,0.1
71,"0, 1, 7",0.28805424394340245,33,8,42,7,0.54,0.56,0.84,0.175
54,"5, 9",-0.008012107664982913,39,2,48,1,0.54,0.55,0.96,0.025
219,"5, 8, 10",0.06778494363186537,40,1,49,0,0.54,0.55,0.98,0.0
218,"5, 8, 9",-0.008012107664982913,39,2,48,1,0.54,0.55,0.96,0.025
27,"1, 8",0.1834551629667225,36,5,45,4,0.54,0.56,0.9,0.1
225,"6, 8, 10",-0.049109234342271726,40,2,48,0,0.53,0.55,0.96,0.0
87,"0, 3, 8",0.1719201434567586,38,4,46,2,0.53,0.55,0.92,0.05
42,"3, 8",0.1819586367501052,36,6,44,4,0.53,0.55,0.88,0.1
85,"0, 3, 6",0.23176424645735988,34,8,42,6,0.53,0.55,0.84,0.15
226,"6, 9, 10",-0.049109234342271726,40,2,48,0,0.53,0.55,0.96,0.0
123,"1, 3, 8",0.04302097670522409,33,9,41,7,0.53,0.55,0.82,0.175
188,"3, 6, 9",0.23176424645735988,34,8,42,6,0.53,0.55,0.84,0.15
115,"1, 2, 7",0.19490905099645292,31,12,38,9,0.52,0.55,0.76,0.225
192,"3, 7, 10",0.19612616785512274,30,13,37,10,0.52,0.55,0.74,0.25
41,"3, 7",0.19490905099645292,31,12,38,9,0.52,0.55,0.76,0.225
170,"2, 7, 9",0.22558657046805325,33,10,40,7,0.52,0.55,0.8,0.175
21,"1, 2",0.07760194499395535,17,26,24,23,0.52,0.59,0.48,0.575
111,"1, 2, 3",0.04633598494060219,17,26,24,23,0.52,0.59,0.48,0.575
37,"2, 10",0.03257488877217049,17,27,23,23,0.51,0.57,0.46,0.575
29,"1, 10",0.03257488877217049,17,27,23,23,0.51,0.57,0.46,0.575
82,"0, 2, 10",0.06951734007130284,16,28,22,24,0.51,0.58,0.44,0.6
191,"3, 7, 9",0.22317536836977298,33,11,39,7,0.51,0.54,0.78,0.175
118,"1, 2, 10",-0.07105422109203557,16,28,22,24,0.51,0.58,0.44,0.6
122,"1, 3, 7",0.19129596579078958,31,13,37,9,0.51,0.54,0.74,0.225
13,"0, 3",0.07864376864024512,17,27,23,23,0.51,0.57,0.46,0.575
150,"2, 3, 7",0.19129596579078958,31,13,37,9,0.51,0.54,0.74,0.225
22,"1, 3",0.020934054600043255,18,27,23,22,0.5,0.56,0.46,0.55
30,"2, 3",0.020934054600043255,18,27,23,22,0.5,0.56,0.46,0.55
12,"0, 2",0.028475183454912036,18,27,23,22,0.5,0.56,0.46,0.55
20,"0, 10",0.020934054600043255,18,27,23,22,0.5,0.56,0.46,0.55
3,3,0.020934054600043255,18,27,23,22,0.5,0.56,0.46,0.55
44,"3, 10",0.028714958744543908,17,28,22,23,0.5,0.56,0.44,0.575
75,"0, 2, 3",0.028475183454912036,18,27,23,22,0.5,0.56,0.46,0.55
2,2,0.020934054600043255,18,27,23,22,0.5,0.56,0.46,0.55
1,1,0.020934054600043255,18,27,23,22,0.5,0.56,0.46,0.55
153,"2, 3, 10",0.011700329185070892,15,30,20,25,0.5,0.57,0.4,0.625
67,"0, 1, 3",-0.009859627262635444,19,27,23,21,0.49,0.55,0.46,0.525
89,"0, 3, 10",-0.21915032733765025,17,29,21,23,0.49,0.55,0.42,0.575
11,"0, 1",-0.007687289126349348,19,27,23,21,0.49,0.55,0.46,0.525
10,10,0.011609608607647275,21,26,24,19,0.48,0.53,0.48,0.475
125,"1, 3, 10",-0.06980444895376461,17,30,20,23,0.48,0.54,0.4,0.575
0,0,0.006657293719935031,21,27,23,19,0.47,0.52,0.46,0.475
74,"0, 1, 10",-0.0216631431880091,15,33,17,25,0.47,0.53,0.34,0.625
86,"0, 3, 7",-0.022401665456173257,31,17,33,9,0.47,0.52,0.66,0.225
66,"0, 1, 2",-0.045785190061046185,23,29,21,17,0.42,0.48,0.42,0.425
